time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,0,4387,,,,,,,,,,,,,
2,1024,0,2161,-0.029430127644445747,0.014926352,-1.0251777172088623,-43.98613369464874,0.2,0.14207038097083569,16,0.0004092704424510632,0.248291015625,-0.023889057338237762,0.9999790787696838,,
3,1536,0,1726,-0.030553430231520906,0.02901648,-0.15768206119537354,-43.976985812187195,0.2,0.0046472696485579945,32,0.0004092704424510632,0.336181640625,-0.03200770169496536,0.9995052218437195,-2.613794,1258.0
4,2048,1,1570,-0.031074730883119628,0.018302312,0.003558635711669922,-43.966437578201294,0.2,0.004861257621087134,48,0.0004092704424510632,0.288330078125,-0.02175506390631199,0.9992235898971558,-2.613794,1258.0
5,2560,1,1491,-0.026202991386526264,0.015729375,-0.05915725231170654,-43.96094369888306,0.2,0.003394693834707141,64,0.0004092704424510632,0.23779296875,-0.03484845906496048,0.9994379281997681,-2.481222,1258.0
6,3072,2,1441,-0.02387935545993969,0.014675341,0.006009161472320557,-43.962610721588135,0.2,0.008056868551648222,80,0.0004092704424510632,0.2393798828125,-0.0355149582028389,0.9988690614700317,-2.481222,1258.0
7,3584,2,1411,-0.02396739018149674,0.019746669,0.0029518604278564453,-43.954107880592346,0.2,0.004103411003598012,96,0.0004092704424510632,0.2620849609375,-0.03332865983247757,0.9997298121452332,-2.481222,1258.0
8,4096,2,1383,-0.030981697083916515,0.017069194,0.0001533031463623047,-43.99229717254639,0.2,0.002370084297581343,112,0.0004092704424510632,0.2900390625,-0.03901643678545952,1.0008971691131592,-2.487406,1258.0
9,4608,3,1365,-0.02424141686060466,0.016441114,0.0016518831253051758,-44.03007709980011,0.2,0.018020789604634047,128,0.0004092704424510632,0.2457275390625,-0.023914126679301262,1.002397894859314,-2.487406,1258.0
10,5120,3,1349,-0.028401773393852636,0.017482694,0.01774740219116211,-44.05436193943024,0.2,0.0035820153934764676,144,0.0004092704424510632,0.270751953125,-0.04238002374768257,1.0021946430206299,-2.5103325,1258.0
11,5632,4,1338,-0.026373323998996057,0.017459542,0.0029979348182678223,-44.022300004959106,0.2,0.0257690412690863,160,0.0004092704424510632,0.275390625,-0.020355740562081337,1.0003535747528076,-2.5103325,1258.0
12,6144,4,1328,-0.02053831479861401,0.021371093,0.054023146629333496,-43.97159743309021,0.2,0.004076785204233602,176,0.0004092704424510632,0.2398681640625,-0.028982724994421005,0.9995013475418091,-2.5103325,1258.0
13,6656,5,1320,-0.032065334205981344,0.015755804,0.05834776163101196,-43.96149027347565,0.2,0.0021281573972373735,192,0.0004092704424510632,0.2554931640625,-0.040944963693618774,0.9995018839836121,-2.5213592,1258.0
14,7168,5,1312,-0.021583435489446856,0.017946152,0.005344092845916748,-43.96952497959137,0.2,0.03674627421423793,208,0.0004092704424510632,0.2496337890625,-0.00897984765470028,1.0003135204315186,-2.5213592,1258.0
15,7680,5,1307,-0.025631391414208338,0.02376147,0.31870442628860474,-43.976314306259155,0.2,0.0023268044205906335,224,0.0004092704424510632,0.279052734375,-0.035879261791706085,0.9994772672653198,-2.4940371666666663,1258.0
16,8192,6,1301,-0.028471228666603565,0.020441033,0.02479475736618042,-43.94421339035034,0.2,0.046358154620975256,240,0.0004092704424510632,0.2965087890625,-0.017891649156808853,0.9987097382545471,-2.4940371666666663,1258.0
17,8704,6,1295,-0.02485530954436399,0.018423198,0.5991297364234924,-43.903838753700256,0.2,0.002534514514991315,256,0.0004092704424510632,0.2659912109375,-0.03168967366218567,0.9966219067573547,-2.4940371666666663,1258.0
18,9216,7,1291,-0.029577555018477142,0.018786967,0.2039954662322998,-43.86436700820923,0.2,0.003442094472120516,272,0.0004092704424510632,0.2618408203125,-0.028529856353998184,0.9974550008773804,-2.464736857142857,1258.0
19,9728,7,1287,-0.025670625473139808,0.017985743,0.015062987804412842,-43.897104024887085,0.2,0.05483650090172887,288,0.0004092704424510632,0.254150390625,-0.007173594087362289,0.9975184202194214,-2.464736857142857,1258.0
20,10240,7,1284,-0.028671181411482394,0.016151583,0.5045914649963379,-43.866076827049255,0.2,0.0034520958761277143,304,0.0004092704424510632,0.2381591796875,-0.04258841276168823,0.9959080219268799,-2.4660568749999996,1258.0
21,10752,8,1280,-0.02676144681754522,0.024983577,0.08709800243377686,-43.80930829048157,0.2,0.05345965793821961,320,0.0004092704424510632,0.290283203125,-0.013639301061630249,0.9938609004020691,-2.4660568749999996,1258.0
22,11264,8,1277,-0.023947369649249595,0.016536418,0.6424620151519775,-43.753971576690674,0.2,0.003230863938370021,336,0.0004092704424510632,0.22998046875,-0.030795956030488014,0.9927456974983215,-2.4660568749999996,1258.0
23,11776,9,1273,-0.028115280932979658,0.023409788,0.21193993091583252,-43.70494985580444,0.2,0.002439301664708182,352,0.0004092704424510632,0.267578125,-0.047240469604730606,0.9903436303138733,-2.463386111111111,1258.0
24,12288,9,1272,-0.02553912834264338,0.018777464,0.0670214295387268,-43.64067471027374,0.2,0.06516468024346977,368,0.0004092704424510632,0.2330322265625,-0.012160150334239006,0.9890217185020447,-2.463386111111111,1258.0
25,12800,10,1270,-0.026376187714049593,0.01750438,0.5007745027542114,-43.626604437828064,0.2,0.003196102483343566,384,0.0004092704424510632,0.2015380859375,-0.04566296190023422,0.9895746111869812,-2.4673551999999996,1258.0
26,13312,10,1268,-0.02412289212225005,0.020907044,0.14273840188980103,-43.64573109149933,0.2,0.06394633185118437,400,0.0004092704424510632,0.2161865234375,0.00818568840622902,0.9897074699401855,-2.4673551999999996,1258.0
27,13824,10,1266,-0.023640802115551196,0.017050572,0.6031842827796936,-43.63709235191345,0.2,0.0065465758088976145,416,0.0004092704424510632,0.2198486328125,-0.03706486150622368,0.9893859624862671,-2.4673551999999996,1258.0
