time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/approx_kl,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/std,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,4020,1,,,,,,,,,,,,,
0,1024,2568,2,-0.03397908806800842,-0.033636805732385255,16,0.2,0.022025924,-0.4593236446380615,0.2900390625,-44.01480424404144,0.18887844710843638,1.001936674118042,0.0004092704424510632,,
0,1536,2281,3,-0.029207060113549232,-0.02061699182377197,32,0.2,0.015669912,-0.028021812438964844,0.208251953125,-44.07303297519684,0.004975842581188772,1.0035650730133057,0.0004092704424510632,-2.558637,1257.0
0,2048,2124,4,-0.03591442480683327,-0.026140938862226903,48,0.2,0.015851945,-0.0004417896270751953,0.2537841796875,-44.10732626914978,0.006177755436510779,1.0041285753250122,0.0004092704424510632,-2.558637,1257.0
1,2560,2039,5,-0.03201359137892723,-0.03112878100364469,64,0.2,0.031440936,0.012209713459014893,0.3436279296875,-44.10773980617523,0.003113958013273077,1.003758192062378,0.0004092704424510632,-2.5288695,1257.0
1,3072,2008,6,-0.034421440213918686,-0.02782853093231097,80,0.2,0.018919231,0.009000837802886963,0.2677001953125,-44.084264159202576,0.004062941494339611,1.0028386116027832,0.0004092704424510632,-2.5288695,1257.0
1,3584,1973,7,-0.03911247476935387,-0.03197604964952916,96,0.2,0.019014,0.019974827766418457,0.2830810546875,-44.071715354919434,0.005259660290903412,1.0029293298721313,0.0004092704424510632,-2.5288695,1257.0
2,4096,1961,8,-0.04182017967104912,-0.031009519749204628,112,0.2,0.018337077,-0.0062885284423828125,0.26513671875,-44.0620379447937,0.0035184703883714974,1.001940369606018,0.0004092704424510632,-2.4329556666666665,1257.0
2,4608,1937,9,-0.04032400995492935,-0.02980716887395829,128,0.2,0.022891551,0.008573353290557861,0.3421630859375,-44.017077803611755,0.007127811346435919,1.0001510381698608,0.0004092704424510632,-2.4329556666666665,1257.0
2,5120,1925,10,-0.024972379207611084,-0.025337390863569453,144,0.2,0.01555702,0.028044939041137695,0.2705078125,-43.96682405471802,0.0020955698601028416,0.9990197420120239,0.0004092704424510632,-2.41039225,1257.0
2,5632,1915,11,-0.022013477981090546,-0.025219667557394132,160,0.2,0.018583722,-0.006815791130065918,0.2471923828125,-43.924920082092285,0.0072012747841654345,0.9972487688064575,0.0004092704424510632,-2.41039225,1257.0
3,6144,1906,12,-0.04905526340007782,-0.03391785887652077,176,0.2,0.03042553,0.018283545970916748,0.35498046875,-43.883787631988525,0.006179363459523302,0.9964901804924011,0.0004092704424510632,-2.41039225,1257.0
3,6656,1899,13,-0.03606213256716728,-0.025705664054839872,192,0.2,0.014382847,-0.01384270191192627,0.2271728515625,-43.864441990852356,0.005079567927168682,0.9963787794113159,0.0004092704424510632,-2.4880842000000003,1257.0
3,7168,1894,14,-0.030840471386909485,-0.029282219213200733,208,0.2,0.017004326,0.002926051616668701,0.2750244140625,-43.844772934913635,0.02501876524183899,0.9948834180831909,0.0004092704424510632,-2.4880842000000003,1257.0
4,7680,1888,15,-0.05124635994434357,-0.0345602029847214,224,0.2,0.02176492,0.0002929568290710449,0.2999267578125,-43.80286371707916,0.002509367997845402,0.9944036602973938,0.0004092704424510632,-2.466973,1257.0
4,8192,1882,16,-0.022556506097316742,-0.024691195401828736,240,0.2,0.019233704,-9.334087371826172e-05,0.2451171875,-43.78903567790985,0.027700145612470806,0.9934215545654297,0.0004092704424510632,-2.466973,1257.0
4,8704,1878,17,-0.04166976362466812,-0.03177281954413047,256,0.2,0.02830572,0.01873910427093506,0.290771484375,-43.7864191532135,0.005590418120846152,0.9952318668365479,0.0004092704424510632,-2.466973,1257.0
4,9216,1873,18,-0.039474520832300186,-0.029015332358540036,272,0.2,0.01830849,-0.012672901153564453,0.265380859375,-43.863242387771606,0.004348923503130209,0.997965931892395,0.0004092704424510632,-2.480273142857143,1257.0
5,9728,1867,19,-0.014253757894039154,-0.026862033642828465,288,0.2,0.020776983,0.0014489293098449707,0.2420654296875,-43.92564797401428,0.046349783428013325,0.9988915324211121,0.0004092704424510632,-2.480273142857143,1257.0
5,10240,1861,20,-0.03826999291777611,-0.024925390956923366,304,0.2,0.016927056,0.012719869613647461,0.2200927734375,-43.94666528701782,0.003958137771405745,0.999473512172699,0.0004092704424510632,-2.472363625,1257.0
5,10752,1858,21,-0.0062337107956409454,-0.02115140374371549,320,0.2,0.0151386075,0.0016630887985229492,0.1953125,-43.97830581665039,0.04987217567395419,1.001283884048462,0.0004092704424510632,-2.472363625,1257.0
6,11264,1855,22,-0.038708385080099106,-0.021462815086124465,336,0.2,0.016866717,0.011430680751800537,0.1942138671875,-44.01222264766693,0.005354309891117737,1.0012280941009521,0.0004092704424510632,-2.472363625,1257.0
6,11776,1855,23,-0.02996104583144188,-0.02491146662941901,352,0.2,0.017039597,-0.008751630783081055,0.230224609375,-44.008378863334656,0.003470150062639732,1.0016285181045532,0.0004092704424510632,-2.4571379999999996,1257.0
6,12288,1854,24,0.0016553476452827454,-0.03127313850563951,368,0.2,0.029131442,0.001804351806640625,0.339599609375,-44.02211356163025,0.071436736616306,1.0018796920776367,0.0004092704424510632,-2.4571379999999996,1257.0
6,12800,1852,25,-0.04480713978409767,-0.03334813803303405,384,0.2,0.03156404,0.05996793508529663,0.3167724609375,-43.99375820159912,0.002778681788186077,0.9993801116943359,0.0004092704424510632,-2.4555043999999997,1257.0
7,13312,1851,26,0.011166024953126907,-0.022668873600196093,400,0.2,0.01591453,0.0008323788642883301,0.2191162109375,-43.92046821117401,0.07611429365351796,0.998329758644104,0.0004092704424510632,-2.4555043999999997,1257.0
7,13824,1850,27,-0.03524802252650261,-0.02449262695154175,416,0.2,0.016777892,0.04550808668136597,0.2265625,-43.90683388710022,0.005882405399461277,0.9982254505157471,0.0004092704424510632,-2.4555043999999997,1257.0
7,14336,1850,28,-0.03657960146665573,-0.02369818522129208,432,0.2,0.017437896,-0.00819540023803711,0.227783203125,-43.90596294403076,0.004530882441031281,0.9982661008834839,0.0004092704424510632,-2.463338,1257.0
8,14848,1848,29,-0.01964271441102028,-0.02053525357041508,448,0.2,0.024441864,0.002712249755859375,0.2357177734375,-43.90709471702576,0.01824157394003123,0.9984441995620728,0.0004092704424510632,-2.463338,1257.0
8,15360,1847,30,-0.04003806412220001,-0.021212700667092577,464,0.2,0.015951911,0.008323848247528076,0.2015380859375,-43.91399347782135,0.004976747826731298,0.9987594485282898,0.0004092704424510632,-2.4789441666666665,1257.0
8,15872,1846,31,0.00894729420542717,-0.025568345212377608,480,0.2,0.024349432,0.0008865594863891602,0.2662353515625,-43.915382742881775,0.10725390259176493,0.9982807636260986,0.0004092704424510632,-2.4789441666666665,1257.0
8,16384,1844,32,-0.04179075360298157,-0.03515662337304093,496,0.2,0.025159566,0.023848533630371094,0.3211669921875,-43.879547119140625,0.00403970385377761,0.9968891143798828,0.0004092704424510632,-2.4912986153846153,1257.0
9,16896,1842,33,0.011988479644060135,-0.026023473124951124,512,0.2,0.019577462,-0.00045120716094970703,0.2459716796875,-43.84052813053131,0.11849318677559495,0.9958834648132324,0.0004092704424510632,-2.4912986153846153,1257.0
9,17408,1842,34,-0.03728678449988365,-0.029332535050343722,528,0.2,0.025987243,-0.12176036834716797,0.27783203125,-43.7954763174057,0.00398595369188115,0.9938976764678955,0.0004092704424510632,-2.4912986153846153,1257.0
9,17920,1842,35,-0.0359373576939106,-0.028275006770854816,544,0.2,0.017545808,-0.03190171718597412,0.237060546875,-43.74452555179596,0.00353435907891253,0.9933353662490845,0.0004092704424510632,-2.4816839285714285,1257.0
10,18432,1840,36,0.028851017355918884,-0.023718016542261466,560,0.2,0.018396096,0.0007458925247192383,0.2261962890625,-43.73192000389099,0.14402024447917938,0.9931965470314026,0.0004092704424510632,-2.4816839285714285,1257.0
10,18944,1839,37,-0.0424615852534771,-0.027030862067476846,576,0.2,0.02352638,-0.19148850440979004,0.262939453125,-43.72474801540375,0.0018797187731252052,0.9923331141471863,0.0004092704424510632,-2.4925542,1257.0
10,19456,1840,38,0.02373819798231125,-0.02298022869945271,592,0.2,0.022304455,0.0011286139488220215,0.2230224609375,-43.682701587677,0.14411278069019318,0.9905260801315308,0.0004092704424510632,-2.4925542,1257.0
10,19968,1839,39,-0.03861399367451668,-0.02758093039301457,608,0.2,0.021227948,-0.04258739948272705,0.203369140625,-43.61042821407318,0.006600925582461059,0.9878714680671692,0.0004092704424510632,-2.4925542,1257.0
11,20480,1839,40,-0.033059727400541306,-0.02333423658274114,624,0.2,0.016561769,0.004653871059417725,0.1949462890625,-43.53991460800171,0.005062323376478162,0.9866248965263367,0.0004092704424510632,-2.5077781874999996,1257.0
11,20992,1839,41,0.06199956685304642,-0.025017592299263924,640,0.2,0.02052276,0.001676797866821289,0.236328125,-43.524731278419495,0.1775988470762968,0.9866262078285217,0.0004092704424510632,-2.5077781874999996,1257.0
11,21504,1836,42,-0.0358504019677639,-0.02257972526422236,656,0.2,0.014867637,-0.8534046411514282,0.1865234375,-43.528321862220764,0.002957596690976061,0.9866716265678406,0.0004092704424510632,-2.5022906470588233,1257.0
11,22016,1837,43,0.06710723787546158,-0.0178226325660944,672,0.2,0.01783142,0.001419663429260254,0.1622314453125,-43.51848244667053,0.15853701205924153,0.9860924482345581,0.0004092704424510632,-2.5022906470588233,1257.0
12,22528,1837,44,-0.03568568453192711,-0.026798292718012817,688,0.2,0.02140685,0.06441974639892578,0.253173828125,-43.51820707321167,0.0063755399896763265,0.9875056147575378,0.0004092704424510632,-2.5022906470588233,1257.0
12,23040,1836,45,-0.04396144300699234,-0.03242236337973736,704,0.2,0.021360468,0.0074048638343811035,0.2596435546875,-43.56278204917908,0.004654677024518605,0.9882052540779114,0.0004092704424510632,-2.5092092222222218,1257.0
12,23552,1837,46,0.03493242710828781,-0.023363612344837748,720,0.2,0.019054595,0.004287004470825195,0.197265625,-43.544036984443665,0.16594418231397867,0.9862975478172302,0.0004092704424510632,-2.5092092222222218,1257.0
